"","Arctic_SRES B1","Arctic_SRES A1B","Arctic_SRES A2","North Pacific_SRES B1","North Pacific_SRES A1B","North Pacific_SRES A2","Northwest Interior Forest North_SRES B1","Northwest Interior Forest North_SRES A1B","Northwest Interior Forest North_SRES A2","Northwest Interior Forest South_SRES B1","Northwest Interior Forest South_SRES A1B","Northwest Interior Forest South_SRES A2","Western Alaska_SRES B1","Western Alaska_SRES A1B","Western Alaska_SRES A2","Alaska_SRES B1","Alaska_SRES A1B","Alaska_SRES A2"
"1",0.195217006200177,-0.19267255479228,-0.356755869315383,-0.0895757315589898,-0.0619047619047618,-0.105575326215896,0.0599562419233084,0.0137585032150642,-0.151542739308318,0.00262821423497672,-0.0812580675628878,-0.258039141652508,-0.0201279127258808,-0.250993684805197,-0.291344152300883,0.0241549108331114,-0.0815841981473844,-0.217927929433922
"5",1.05413546776831,0.494036482694107,0.197945845004668,-0.0868993886762269,-0.0722891566265059,-0.106529209621993,0.193032335959028,0.0419619836953684,-0.109773606891673,-0.00515954227077497,-0.0759773341651071,-0.244306525747228,-0.0114500964139973,-0.115734265734266,-0.16104526908879,0.126551208625513,-0.00335922090729779,-0.135426662493008
"2",-0.0426180683590981,2.31501416430595,4.01597796143251,0.29568136454364,0.8125,1.32110091743119,-0.0358379402031486,0.031077600459442,0.153496410875503,0.018280552717888,0.240254900499366,0.697494033412888,0.0545800623965218,0.633399275378426,0.759894932986104,0.0161407143190917,0.152839823417013,0.315357047479946
"3",-0.150519182957149,-0.102723474493217,-0.143332673897524,-0.189022033243139,NA,NA,-0.316623767970369,-0.725988483685221,-0.699900145940549,-0.414355948869223,-0.497395833333333,-0.462819089900111,-0.376607295932946,0.0829130821714625,0.0911377422695665,-0.229623938929976,-0.151874748658946,-0.180436368097825
"4",0.0158240474916063,0.0424656792885105,0.0895467210084488,0.00634786288616174,0,0,-0.00691214962770959,-0.178548155871237,-0.134339175121887,0.456087219866747,0.0178425395881348,0.0149653786017423,0.058439700074409,-0.0952694767613785,-0.0985997616975249,0.019117089169864,-0.0323491587386997,-0.0106203003929626
